corpus,rule_1,rule_2,kendall_tau,p_value
wikitext103,log,quadratic,0.6936,0.0
wikitext103,log,crps,0.3715,0.0
wikitext103,log,energy,0.6008,0.0
wikitext103,log,kernel,0.6026,0.0
wikitext103,quadratic,crps,0.2179,0.0
wikitext103,quadratic,energy,0.5799,0.0
wikitext103,quadratic,kernel,0.5583,0.0
wikitext103,crps,energy,0.3327,0.0
wikitext103,crps,kernel,0.3442,0.0
wikitext103,energy,kernel,0.5209,0.0
ptb,log,quadratic,0.6124,0.0
ptb,log,crps,0.2796,0.0
ptb,log,energy,0.5338,0.0
ptb,log,kernel,0.5373,0.0
ptb,quadratic,crps,0.1075,0.0
ptb,quadratic,energy,0.5194,0.0
ptb,quadratic,kernel,0.4977,0.0
ptb,crps,energy,0.2251,0.0
ptb,crps,kernel,0.2822,0.0
ptb,energy,kernel,0.4649,0.0
