corpus,rule,model,rank
wikitext103,log,gpt2,2
wikitext103,log,gpt2-medium,1
wikitext103,log,opt-125m,3
wikitext103,quadratic,gpt2,3
wikitext103,quadratic,gpt2-medium,1
wikitext103,quadratic,opt-125m,2
wikitext103,crps,gpt2,3
wikitext103,crps,gpt2-medium,1
wikitext103,crps,opt-125m,2
wikitext103,energy,gpt2,3
wikitext103,energy,gpt2-medium,2
wikitext103,energy,opt-125m,1
wikitext103,kernel,gpt2,2
wikitext103,kernel,gpt2-medium,1
wikitext103,kernel,opt-125m,3
pile,log,gpt2,3
pile,log,gpt2-medium,2
pile,log,opt-125m,1
pile,quadratic,gpt2,3
pile,quadratic,gpt2-medium,2
pile,quadratic,opt-125m,1
pile,crps,gpt2,3
pile,crps,gpt2-medium,1
pile,crps,opt-125m,2
pile,energy,gpt2,3
pile,energy,gpt2-medium,2
pile,energy,opt-125m,1
pile,kernel,gpt2,2
pile,kernel,gpt2-medium,1
pile,kernel,opt-125m,3
