model,corpus,decile,rule,mean_score,n_tokens
gpt2,wikitext103,0,log,3.3546829223632812,15393
gpt2,wikitext103,0,quadratic,0.776009202003479,15393
gpt2,wikitext103,0,energy,1.3101695775985718,15393
gpt2,wikitext103,0,kernel,0.17379948496818542,15393
gpt2,wikitext103,1,log,5.286245346069336,1589
gpt2,wikitext103,1,quadratic,0.9051734209060669,1589
gpt2,wikitext103,1,energy,1.8741942644119263,1589
gpt2,wikitext103,1,kernel,0.28148147463798523,1589
gpt2,wikitext103,2,log,5.35891056060791,950
gpt2,wikitext103,2,quadratic,0.8945804834365845,950
gpt2,wikitext103,2,energy,1.9193108081817627,950
gpt2,wikitext103,2,kernel,0.29510292410850525,950
gpt2,wikitext103,3,log,6.146829605102539,583
gpt2,wikitext103,3,quadratic,0.9200252890586853,583
gpt2,wikitext103,3,energy,2.029369831085205,583
gpt2,wikitext103,3,kernel,0.31598156690597534,583
gpt2,wikitext103,4,log,6.025355339050293,459
gpt2,wikitext103,4,quadratic,0.9110163450241089,459
gpt2,wikitext103,4,energy,2.0820579528808594,459
gpt2,wikitext103,4,kernel,0.3322082459926605,459
gpt2,wikitext103,5,log,6.751025199890137,322
gpt2,wikitext103,5,quadratic,0.9330945611000061,322
gpt2,wikitext103,5,energy,2.129168748855591,322
gpt2,wikitext103,5,kernel,0.3390023410320282,322
gpt2,wikitext103,6,log,5.971195697784424,259
gpt2,wikitext103,6,quadratic,0.9071866869926453,259
gpt2,wikitext103,6,energy,2.083909749984741,259
gpt2,wikitext103,6,kernel,0.33152374625205994,259
gpt2,wikitext103,7,log,7.1881022453308105,148
gpt2,wikitext103,7,quadratic,0.9369688034057617,148
gpt2,wikitext103,7,energy,2.1483640670776367,148
gpt2,wikitext103,7,kernel,0.34370195865631104,148
gpt2,wikitext103,8,log,6.571022033691406,149
gpt2,wikitext103,8,quadratic,0.9320379495620728,149
gpt2,wikitext103,8,energy,2.1242847442626953,149
gpt2,wikitext103,8,kernel,0.33846309781074524,149
gpt2,wikitext103,9,log,7.420355796813965,148
gpt2,wikitext103,9,quadratic,0.9934491515159607,148
gpt2,wikitext103,9,energy,2.320012331008911,148
gpt2,wikitext103,9,kernel,0.3721158802509308,148
gpt2-medium,wikitext103,0,log,3.0937912464141846,15393
gpt2-medium,wikitext103,0,quadratic,0.7423180341720581,15393
gpt2-medium,wikitext103,0,energy,1.0797408819198608,15393
gpt2-medium,wikitext103,0,kernel,0.1520228236913681,15393
gpt2-medium,wikitext103,1,log,4.7487030029296875,1589
gpt2-medium,wikitext103,1,quadratic,0.8668205738067627,1589
gpt2-medium,wikitext103,1,energy,1.5941283702850342,1589
gpt2-medium,wikitext103,1,kernel,0.2597126066684723,1589
gpt2-medium,wikitext103,2,log,4.803632736206055,950
