model,corpus,bin,n_tokens,rule,mean_score
gpt2,wikitext103,low,6660,log,1.9385581016540527
gpt2,wikitext103,medium,6660,log,3.9828243255615234
gpt2,wikitext103,high,6680,log,5.823919296264648
gpt2,ptb,low,6660,log,3.3389575481414795
gpt2,ptb,medium,6660,log,5.185891628265381
gpt2,ptb,high,6680,log,6.555330276489258
gpt2-medium,wikitext103,low,6660,log,1.6515309810638428
gpt2-medium,wikitext103,medium,6660,log,3.62058162689209
gpt2-medium,wikitext103,high,6680,log,5.495840072631836
gpt2-medium,ptb,low,6660,log,3.0624592304229736
gpt2-medium,ptb,medium,6660,log,4.962574005126953
gpt2-medium,ptb,high,6680,log,6.2783026695251465
opt-125m,wikitext103,low,6660,log,1.9840911626815796
opt-125m,wikitext103,medium,6660,log,4.228529930114746
opt-125m,wikitext103,high,6680,log,5.9299492835998535
opt-125m,ptb,low,6660,log,3.6590816974639893
opt-125m,ptb,medium,6660,log,5.457200527191162
opt-125m,ptb,high,6680,log,6.47706413269043
gpt2,wikitext103,low,6660,quadratic,0.5616838335990906
gpt2,wikitext103,medium,6660,quadratic,0.8921859860420227
gpt2,wikitext103,high,6680,quadratic,0.967819333076477
gpt2,ptb,low,6660,quadratic,0.7444719672203064
gpt2,ptb,medium,6660,quadratic,0.9489312171936035
gpt2,ptb,high,6680,quadratic,0.9821626543998718
gpt2-medium,wikitext103,low,6660,quadratic,0.48701906204223633
gpt2-medium,wikitext103,medium,6660,quadratic,0.872941255569458
gpt2-medium,wikitext103,high,6680,quadratic,0.9618030190467834
gpt2-medium,ptb,low,6660,quadratic,0.7034956812858582
gpt2-medium,ptb,medium,6660,quadratic,0.9394610524177551
gpt2-medium,ptb,high,6680,quadratic,0.9807063341140747
opt-125m,wikitext103,low,6660,quadratic,0.5528135299682617
opt-125m,wikitext103,medium,6660,quadratic,0.9034138917922974
opt-125m,wikitext103,high,6680,quadratic,0.9753872156143188
opt-125m,ptb,low,6660,quadratic,0.7787352204322815
opt-125m,ptb,medium,6660,quadratic,0.9602231383323669
opt-125m,ptb,high,6680,quadratic,0.9826550483703613
gpt2,wikitext103,low,6660,energy,0.9271842241287231
gpt2,wikitext103,medium,6660,energy,1.5667065382003784
gpt2,wikitext103,high,6680,energy,1.901424765586853
gpt2,ptb,low,6660,energy,1.290108323097229
gpt2,ptb,medium,6660,energy,1.7308679819107056
gpt2,ptb,high,6680,energy,1.9163508415222168
gpt2-medium,wikitext103,low,6660,energy,0.7003744840621948
gpt2-medium,wikitext103,medium,6660,energy,1.3190057277679443
gpt2-medium,wikitext103,high,6680,energy,1.6479337215423584
gpt2-medium,ptb,low,6660,energy,1.0389268398284912
gpt2-medium,ptb,medium,6660,energy,1.4779751300811768
gpt2-medium,ptb,high,6680,energy,1.6629502773284912
opt-125m,wikitext103,low,6660,energy,0.5364450812339783
opt-125m,wikitext103,medium,6660,energy,0.8946808576583862
opt-125m,wikitext103,high,6680,energy,1.0032190084457397
opt-125m,ptb,low,6660,energy,0.7885419726371765
opt-125m,ptb,medium,6660,energy,0.9763837456703186
opt-125m,ptb,high,6680,energy,1.0388782024383545
gpt2,wikitext103,low,6660,kernel,0.12141992151737213
gpt2,wikitext103,medium,6660,kernel,0.21394798159599304
gpt2,wikitext103,high,6680,kernel,0.2780633568763733
gpt2,ptb,low,6660,kernel,0.17340794205665588
gpt2,ptb,medium,6660,kernel,0.2412043809890747
gpt2,ptb,high,6680,kernel,0.2783583104610443
gpt2-medium,wikitext103,low,6660,kernel,0.09845234453678131
gpt2-medium,wikitext103,medium,6660,kernel,0.19153964519500732
gpt2-medium,wikitext103,high,6680,kernel,0.25799885392189026
gpt2-medium,ptb,low,6660,kernel,0.14703300595283508
gpt2-medium,ptb,medium,6660,kernel,0.21900887787342072
gpt2-medium,ptb,high,6680,kernel,0.258932501077652
opt-125m,wikitext103,low,6660,kernel,0.21237151324748993
opt-125m,wikitext103,medium,6660,kernel,0.3587097227573395
opt-125m,wikitext103,high,6680,kernel,0.4093117117881775
opt-125m,ptb,low,6660,kernel,0.3201649785041809
opt-125m,ptb,medium,6660,kernel,0.39569079875946045
opt-125m,ptb,high,6680,kernel,0.4286768138408661
