model,corpus,bin,log_over_energy,log_over_kernel
gpt2,wikitext103,low,2.0527668,15.751514
gpt2,wikitext103,medium,2.5968378,18.845919
gpt2,wikitext103,high,3.1064644,21.175816
gpt2,pile,low,2.3166215,16.90098
gpt2,pile,medium,2.2032306,16.13545
gpt2,pile,high,2.8723474,19.928558
gpt2-medium,wikitext103,low,2.3578246,17.023884
gpt2-medium,wikitext103,medium,2.8407168,19.56204
gpt2-medium,wikitext103,high,3.3660407,21.347042
gpt2-medium,pile,low,2.2589965,15.07381
gpt2-medium,pile,medium,2.4767034,17.033247
gpt2-medium,pile,high,3.081777,19.888868
opt-125m,wikitext103,low,3.6387076,9.100915
opt-125m,wikitext103,medium,4.808632,11.961011
opt-125m,wikitext103,high,6.010288,14.680076
opt-125m,pile,low,3.1115675,7.8169284
opt-125m,pile,medium,3.7632926,9.377621
opt-125m,pile,high,5.2053256,12.845942
