model,corpus,rule,label,n_tokens,mean,boot_mean,se,ci_lo,ci_hi
gpt2,ptb,energy,Energy,20000,1.6460462721102171,1.6460487929789616,0.005721972043575925,1.634721764052576,1.6571174202721124
gpt2,ptb,kernel,Kernel,20000,0.2310375682771206,0.23101730636850298,0.0009526930724726902,0.22917321876242758,0.23286109097875657
gpt2,ptb,log,Log,20000,5.028255056189941,5.028131028757787,0.02555728089932074,4.978143350958698,5.077189521448112
gpt2,ptb,quadratic,Quadratic,20000,0.8919455914378166,0.8920694922414482,0.002577288103399375,0.8870287380648404,0.8971892603772879
gpt2-medium,ptb,energy,Energy,20000,1.3935537019884912,1.3935283645806467,0.005430250340474267,1.3832400483146752,1.404056566546566
gpt2-medium,ptb,kernel,Kernel,20000,0.20837541067004203,0.2083713921373397,0.0009516397350217201,0.20660123566396535,0.21010236311249436
gpt2-medium,ptb,log,Log,20000,4.7692891461113875,4.7688399518752815,0.024676395721240352,4.719878708302484,4.814134856887564
gpt2-medium,ptb,quadratic,Quadratic,20000,0.8746605443328619,0.8746074893754006,0.002910616280453622,0.8689377606876939,0.8800129725058377
opt-125m,ptb,energy,Energy,20000,0.9347055609527976,0.9346590565499339,0.003114299663917778,0.9283283288606672,0.9407712058557522
opt-125m,ptb,kernel,Kernel,20000,0.38155802588164806,0.3815484344728365,0.0013781711880223348,0.3788794919697568,0.38422015366714446
opt-125m,ptb,log,Log,20000,5.19906167655747,5.199374884168046,0.025733657253557262,5.149556090771365,5.248460703389066
opt-125m,ptb,quadratic,Quadratic,20000,0.9072798912316561,0.907260569842115,0.0026336945522752392,0.902127453776896,0.9123386029836535
gpt2,wikitext103,energy,Energy,20000,1.465541478593694,1.4653071900550045,0.005902812573460026,1.453405912637451,1.476503116357196
gpt2,wikitext103,kernel,Kernel,20000,0.20455067430138588,0.2045208069797695,0.0009632275281950798,0.20254605612955986,0.2063088664031774
gpt2,wikitext103,log,Log,20000,3.9170093530008745,3.916023997586636,0.02218753980396262,3.8696677940823423,3.960185449960017
gpt2,wikitext103,quadratic,Quadratic,20000,0.8073903088569641,0.8072306906948388,0.00274399414315144,0.8018382414452732,0.8122897209652513
gpt2-medium,wikitext103,energy,Energy,20000,1.2228634887258871,1.2226833257853396,0.0055581914507085405,1.2120249911011134,1.2337181134456388
gpt2-medium,wikitext103,kernel,Kernel,20000,0.18273894372284413,0.1827021175000876,0.000980411064361987,0.18080856138959525,0.18462006444834173
gpt2-medium,wikitext103,log,Log,20000,3.5912243211999435,3.5907113566814384,0.0220173776555863,3.5485344760991087,3.632480988021129
gpt2-medium,wikitext103,quadratic,Quadratic,20000,0.7741089896321297,0.7740782814428269,0.002974570518214635,0.7681469999586046,0.7798989297170937
opt-125m,wikitext103,energy,Energy,20000,0.811640082113666,0.8117107322608753,0.0031708779482894985,0.8056244576812656,0.8180598363713157
opt-125m,wikitext103,kernel,Kernel,20000,0.32688016153723004,0.32691489728634804,0.0013773164225383795,0.3242840110981464,0.3296200273672864
opt-125m,wikitext103,log,Log,20000,4.049405927978908,4.049423909071857,0.023435345851443738,4.003852331128327,4.092588281990646
opt-125m,wikitext103,quadratic,Quadratic,20000,0.8107030507832765,0.8107481982253074,0.0029059370678473266,0.805041090887636,0.8163371804250031
