corpus,rule_1,rule_2,tau_mean,tau_se,ci_lo,ci_hi,n_boot,n_sample
ptb,energy,kernel,0.4640218395712523,0.010808841529025665,0.4428067416753083,0.4830434298001288,200,3000
ptb,log,energy,0.5316469474101403,0.010969567633948879,0.5104432168461589,0.5532574902441463,200,3000
ptb,log,kernel,0.5369539035318871,0.009848622834351506,0.5156964321882759,0.5552786572505853,200,3000
ptb,log,quadratic,0.6087873210088948,0.012042846652402756,0.586010303718503,0.631883274637876,200,3000
ptb,quadratic,energy,0.5169964532421792,0.011146838378775637,0.4949112817055247,0.5383428667918837,200,3000
ptb,quadratic,kernel,0.501649779801616,0.011331383267739184,0.4796608209993596,0.5229150337358968,200,3000
wikitext103,energy,kernel,0.5253052850413971,0.009791082333416194,0.5065656658783778,0.5424088628800375,200,3000
wikitext103,log,energy,0.6020500286064917,0.010062696409958403,0.583453801736759,0.6213614859639244,200,3000
wikitext103,log,kernel,0.6061013499966081,0.008819099301325534,0.5890057388791672,0.6220284361487787,200,3000
wikitext103,log,quadratic,0.6917299102473305,0.010762332137296606,0.6705709585897602,0.7125003301437332,200,3000
wikitext103,quadratic,energy,0.5818504025978655,0.01052237589954123,0.5595420801142321,0.5987528656515001,200,3000
wikitext103,quadratic,kernel,0.5627206526277346,0.01029934707487884,0.5422463841642031,0.5825619149980058,200,3000
