model,corpus,group,n_tokens,mean_crps,mean_energy,disc_threshold
gpt2,wikitext103,concordant,3025,1440.2650146484375,1.2829177379608154,1.0
gpt2,wikitext103,discordant,1001,2195.0439453125,1.6665961742401123,1.0
gpt2,pile,concordant,2760,874.8190307617188,0.9627692699432373,1.0
gpt2,pile,discordant,1080,1576.2861328125,1.581228494644165,1.0
gpt2-medium,wikitext103,concordant,2972,1375.278076171875,1.0533943176269531,1.0
gpt2-medium,wikitext103,discordant,1054,1926.7821044921875,1.4372451305389404,1.0
gpt2-medium,pile,concordant,2756,798.7783203125,0.7951499223709106,1.0
gpt2-medium,pile,discordant,1084,1458.44775390625,1.3196793794631958,1.0
opt-125m,wikitext103,concordant,2900,1341.8997802734375,0.7643552422523499,1.0
opt-125m,wikitext103,discordant,1174,2183.788330078125,0.8818351030349731,1.0
opt-125m,pile,concordant,2752,722.4633178710938,0.5691208243370056,1.0
opt-125m,pile,discordant,1090,1467.794189453125,0.8039707541465759,1.0
