model,corpus,group,kendall_tau,p_value,n_tokens
gpt2,wikitext103,concordant,0.3961,0.0,3025
gpt2,wikitext103,discordant,0.3256,0.0,1001
gpt2,pile,concordant,0.5369,0.0,2760
gpt2,pile,discordant,0.2639,0.0,1080
gpt2-medium,wikitext103,concordant,0.4136,0.0,2972
gpt2-medium,wikitext103,discordant,0.3432,0.0,1054
gpt2-medium,pile,concordant,0.5355,0.0,2756
gpt2-medium,pile,discordant,0.3309,0.0,1084
opt-125m,wikitext103,concordant,0.3547,0.0,2900
opt-125m,wikitext103,discordant,0.1931,0.0,1174
opt-125m,pile,concordant,0.5285,0.0,2752
opt-125m,pile,discordant,0.3351,0.0,1090
