model,corpus,rule,mean,se,ci_lo,ci_hi,n_tokens
gpt2,wikitext103,log,4.062623,0.045569,3.974424,4.155615,5000
gpt2,wikitext103,quadratic,0.83476,0.005209,0.824408,0.844646,5000
gpt2,wikitext103,crps,3932.882812,69.530052,3798.31983,4069.443176,5000
gpt2,wikitext103,energy,1.513348,0.011639,1.491405,1.534894,5000
gpt2,wikitext103,kernel,0.211203,0.001934,0.20738,0.214934,5000
gpt2,ptb,log,4.976345,0.04972,4.880735,5.074101,5000
gpt2,ptb,quadratic,0.89458,0.005081,0.885188,0.904167,5000
gpt2,ptb,crps,4220.153809,69.082191,4092.954602,4352.028296,5000
gpt2,ptb,energy,1.655375,0.011395,1.632591,1.677205,5000
gpt2,ptb,kernel,0.233238,0.001908,0.229425,0.236873,5000
gpt2-medium,wikitext103,log,10.824906,0.0,10.824906,10.824906,5000
gpt2-medium,wikitext103,quadratic,0.99998,0.0,0.99998,0.99998,5000
gpt2-medium,wikitext103,crps,16210.082031,18.521614,16173.942847,16246.1427,5000
gpt2-medium,wikitext103,energy,1.828392,0.003166,1.822138,1.834566,5000
gpt2-medium,wikitext103,kernel,0.299097,0.000873,0.297275,0.300813,5000
gpt2-medium,ptb,log,10.824906,0.0,10.824906,10.824906,5000
gpt2-medium,ptb,quadratic,0.99998,0.0,0.99998,0.99998,5000
gpt2-medium,ptb,crps,16273.524414,18.748957,16237.312207,16310.763086,5000
gpt2-medium,ptb,energy,1.83773,0.003004,1.831956,1.843633,5000
gpt2-medium,ptb,kernel,0.301611,0.00083,0.300022,0.303267,5000
opt-125m,wikitext103,log,4.199669,0.045811,4.109225,4.287267,5000
opt-125m,wikitext103,quadratic,0.834064,0.005175,0.823737,0.844498,5000
opt-125m,wikitext103,crps,3536.023682,63.412788,3409.352118,3657.32193,5000
opt-125m,wikitext103,energy,0.836383,0.005726,0.825345,0.848111,5000
opt-125m,wikitext103,kernel,0.335525,0.002496,0.330703,0.340618,5000
opt-125m,ptb,log,5.144747,0.052849,5.049023,5.249377,5000
opt-125m,ptb,quadratic,0.908496,0.005364,0.897451,0.919566,5000
opt-125m,ptb,crps,4400.063477,77.947578,4253.25321,4559.132312,5000
opt-125m,ptb,energy,0.935975,0.00607,0.923754,0.948135,5000
opt-125m,ptb,kernel,0.380838,0.002669,0.375749,0.386191,5000
